Date,1 Mo,2 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
10/18/2016,0.26,N/A,0.34,0.47,0.66,0.82,0.96,1.24,1.54,1.75,2.18,2.51
10/19/2016,0.25,N/A,0.35,0.48,0.65,0.81,0.96,1.24,1.54,1.76,2.18,2.51
10/20/2016,0.25,N/A,0.35,0.48,0.66,0.84,0.98,1.26,1.55,1.76,2.17,2.5
10/21/2016,0.25,N/A,0.34,0.47,0.66,0.84,0.98,1.25,1.53,1.74,2.15,2.48
10/24/2016,0.23,N/A,0.33,0.46,0.66,0.84,1,1.27,1.56,1.77,2.18,2.52
10/25/2016,0.22,N/A,0.34,0.49,0.66,0.86,1,1.29,1.56,1.77,2.17,2.5
10/26/2016,0.25,N/A,0.33,0.49,0.67,0.86,1.01,1.3,1.59,1.79,2.2,2.53
10/27/2016,0.19,N/A,0.3,0.49,0.68,0.87,1.04,1.33,1.64,1.85,2.26,2.6
10/28/2016,0.18,N/A,0.3,0.49,0.66,0.86,1.02,1.33,1.63,1.86,2.27,2.62
10/31/2016,0.2,N/A,0.34,0.51,0.66,0.86,1,1.31,1.62,1.84,2.25,2.58
11/1/2016,0.24,N/A,0.35,0.5,0.65,0.83,0.99,1.3,1.61,1.83,2.24,2.58
11/2/2016,0.24,N/A,0.37,0.51,0.64,0.81,0.98,1.26,1.57,1.81,2.22,2.56
11/3/2016,0.24,N/A,0.38,0.52,0.64,0.81,0.98,1.26,1.58,1.82,2.25,2.6
11/4/2016,0.25,N/A,0.38,0.52,0.62,0.8,0.95,1.24,1.55,1.79,2.22,2.56
11/7/2016,0.28,N/A,0.41,0.54,0.63,0.82,0.99,1.29,1.6,1.83,2.26,2.6
11/8/2016,0.28,N/A,0.43,0.56,0.71,0.87,1.04,1.34,1.65,1.88,2.29,2.63
11/9/2016,0.3,N/A,0.45,0.56,0.72,0.9,1.12,1.49,1.84,2.07,2.52,2.88
11/10/2016,0.3,N/A,0.48,0.59,0.72,0.92,1.17,1.56,1.92,2.15,2.58,2.94
11/14/2016,0.32,N/A,0.55,0.65,0.77,1,1.27,1.66,2.01,2.23,2.65,2.99
11/15/2016,0.3,N/A,0.51,0.61,0.78,1.02,1.28,1.68,2.03,2.23,2.64,2.97
11/16/2016,0.32,N/A,0.47,0.62,0.76,1,1.28,1.68,2.03,2.22,2.61,2.92
11/17/2016,0.3,N/A,0.44,0.61,0.77,1.04,1.31,1.73,2.08,2.29,2.69,3.01
11/18/2016,0.28,N/A,0.44,0.6,0.77,1.07,1.36,1.8,2.14,2.34,2.7,3.01
11/21/2016,0.28,N/A,0.46,0.6,0.78,1.08,1.36,1.79,2.13,2.33,2.69,3
11/22/2016,0.34,N/A,0.49,0.61,0.78,1.07,1.35,1.77,2.12,2.31,2.69,3
11/23/2016,0.35,N/A,0.51,0.63,0.8,1.12,1.4,1.83,2.17,2.36,2.71,3.02
11/25/2016,0.34,N/A,0.49,0.62,0.81,1.12,1.41,1.83,2.18,2.36,2.71,3.01
11/28/2016,0.32,N/A,0.48,0.6,0.79,1.11,1.38,1.8,2.13,2.32,2.68,2.99
11/29/2016,0.34,N/A,0.48,0.6,0.78,1.09,1.37,1.78,2.12,2.3,2.66,2.95
11/30/2016,0.38,N/A,0.48,0.62,0.8,1.11,1.4,1.83,2.18,2.37,2.73,3.02
12/1/2016,0.32,N/A,0.48,0.6,0.82,1.14,1.45,1.9,2.25,2.45,2.82,3.1
12/2/2016,0.34,N/A,0.49,0.61,0.8,1.11,1.4,1.84,2.2,2.4,2.78,3.08
12/5/2016,0.34,N/A,0.49,0.63,0.82,1.13,1.42,1.84,2.19,2.39,2.76,3.05
12/6/2016,0.35,N/A,0.49,0.63,0.83,1.12,1.41,1.84,2.18,2.39,2.77,3.08
12/7/2016,0.38,N/A,0.52,0.63,0.85,1.1,1.39,1.8,2.14,2.34,2.73,3.02
12/8/2016,0.39,N/A,0.51,0.62,0.84,1.12,1.4,1.83,2.2,2.4,2.81,3.1
12/9/2016,0.41,N/A,0.54,0.64,0.85,1.15,1.43,1.89,2.26,2.47,2.87,3.16
12/12/2016,0.42,N/A,0.51,0.64,0.85,1.15,1.44,1.9,2.26,2.49,2.86,3.16
12/13/2016,0.47,N/A,0.54,0.66,0.88,1.17,1.46,1.92,2.26,2.48,2.85,3.14
12/14/2016,0.49,N/A,0.55,0.66,0.92,1.27,1.57,2.02,2.34,2.54,2.86,3.14
12/15/2016,0.48,N/A,0.51,0.65,0.91,1.29,1.61,2.1,2.42,2.6,2.89,3.16
12/16/2016,0.46,N/A,0.51,0.65,0.91,1.28,1.59,2.07,2.41,2.6,2.91,3.19
12/19/2016,0.45,N/A,0.52,0.65,0.9,1.24,1.55,2.03,2.35,2.54,2.85,3.12
12/20/2016,0.48,N/A,0.52,0.66,0.9,1.25,1.56,2.06,2.38,2.57,2.88,3.15
12/21/2016,0.46,N/A,0.52,0.65,0.88,1.21,1.54,2.04,2.35,2.55,2.86,3.12
12/22/2016,0.42,N/A,0.51,0.65,0.87,1.22,1.54,2.04,2.36,2.55,2.86,3.12
12/23/2016,0.42,N/A,0.52,0.65,0.87,1.22,1.54,2.04,2.35,2.55,2.86,3.12
12/27/2016,0.5,N/A,0.51,0.66,0.89,1.28,1.58,2.07,2.37,2.57,2.88,3.14
12/28/2016,0.48,N/A,0.53,0.62,0.9,1.26,1.55,2.02,2.32,2.51,2.83,3.09
12/29/2016,0.39,N/A,0.47,0.62,0.85,1.22,1.49,1.96,2.3,2.49,2.82,3.08
